pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
....flush - to piped sewer system,....flush -  to septic tank,....flush - don't know,....pit latrine - with slab,(vip) latrine/blair toilet,3. Letrina abonera,bacin,....pit latrine - without slab,"a quebrada, rio, lago",(Bush/field) No facility,7 Other,BO,1 No toilet in the house,Any facility shared with other households,PLACEHOLDER,PLACEHOLDER
..modern flush toilet,2. Inodoro conectado a pozo séptico,....flush - to pit latrine,close pit,....pit latrine - ventilated improved,5 Dry pit latrine,balde,..pit toilet\latrine,beach/sea,....not facility,8. Otro,disposicion de sanitario no especificado,BANO MODERNO,"barrel, tank","toilet without flush, don't know where",
1. Inodoro conectado a alcantarilla,6. Letrina con pozo séptico,..traditional with bucket flush,closed latrine,aqua-privy,6 Dry raised latrine,balde o bacinilla,1. Letrina (Fosa),closet over sea or water,..no facility,Autre,dk,bathroom without running water,Bathroomwithoutlavatory,,
2 Flush connected to public sewerage,7. Letrina con pozo negro,..traditional with tank flush,Closed pit,Blair,abonera,"balde, cubeta","A hole, digging in the ground","connected to river, creek",0. No tiene,autre,Don t know,Bathroomwith toilet,collective toilet,,
A public network (sewer),A cesspool,2. Inodoro (De lavar),closed pit,blair toilet,Chemical toilet,bowl/bucket,basic pit,Descargan en el rio o quebrada,8. Letrina abonera,autre ( a preciser),don't know,borehole,communal toilet,,
alba¤al,A septic tank and cesspool,3 Flush connected to pit,closed pit latrine,Blair toilet,composite toilet,bucket,cement open pit,descargan en el rio o quebrada,a la calle o al aire libre,autre (preciser),don't know/missing,chemical toilet,Gifili,,
Alcantarillado,BANO C/POZO CIEGO,"3. Inodoro con desagüe a río, laguna, mar",closed pit toilet,communal vip,composting latrine- exclusive,Bucket,cement openpit,directo ao rio mar ou lago,AIRE LIBRE,autre … pr‚ciser,inconnu,drenaje,gutter/drain,,
alcantarrillado publico,bano moderado con pozo ciego,4 Flush connected to open drain,covered hole,communal VIP,composting latrine- shared,bucket latrine,Common Latrine,drop /overhang,Beach,Autres,lavaka voavoatra,excusado,has no drainage,,
Alcantarrillado publico,baño con pozo ciego,"4. Letrina con descarga a río, laguna, mar",covered latrine,evacuación a letrina,Composting Toilet,Bucket latrine (where fresh excreta are manually removed),Common latrine-exclusive home,drop /overhang type,botadero,autres,manquant,Excusado,in residence public,,
baÑo moderado conectado a red publica,Baño moderno con pozo ciego,5. Letrina con cierre hidráulico,Covered pit,evacuación a otro lugar,composting toilet,bucket toilet,Common-latrine shared with another household,drop/hanging toilet,Botadero,"Non-flush, other and unspecified",Manquant,excusado lavable,Inodoro colectivo,,
baño conectado a red pública,black hole or blind well to other,aqua privy,Covered pit latrine,fos. amel./latrine,composting toilet/arbo loo,Bucket toilet,communal latrine,drop/overhang,Bush,"non-flush, other and unspecified",manquant ou nsp,excusado o sanitario sin conexion de agua,inodoro compartido,,
Baño moderno letrina a red pública,black hole or blind well to septic tank,Avec chasse d'eau,covered pit latrine,improved (ventilated) pit latrine,covered dry latrine,bucket type,communal pit,excusado que da a rio o quebrada,bush,"non-flush, other and unspecified ",Missing,excusado o sanitario sin conexion de agua,inodoro publico,,
black hole or blind well to piped public drainage,Camara septica,bathroom with running water,Covered Pit latrine,improved - ventilated,Covered dry latrine (with privacy),"bucket, pan",communal pit latrine,hanging latrine,bush / field,"not connected, non-flush, other and unspecified",missing,excusado sin conexion de agua,Inodoro Publico,,
chase d'eau avec égout ou avec fosse septique,camara s‚ptica,bucket flush,Covered pit latrine (with slab),improved pit latrine (e.g.. vip),double vault compost latrine,bucket/pan,communal pit toilet,Hanging latrine,bush /field,Ostalo,missing/don't know,"have toilet, type not specified",inside house shared,,
