hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
....piped into dwelling,....piped - public,....tube well or borehole,....dug well - protected,....spring water protected,Agua de lluvia,....dug - well unprotected,....spring water unprotected,..buy water from a car,..bottled water,..nile/canals,7. Otro,BO,..well in residence,agua por acarreo,PLACEHOLDER,nascente
....piped into yard/plot,..public tap,3 Hand pump,..well in yard/plot,arroyo protegido,agua de lluvia,..public well,agua de manantial,"5. De carro cisterna, pick up con barriles",6. Compran agua purificada,"3. De manantial, ojo de agua",88. Otro,dk,Agua de paja (patio),along the road,,Source
..piped into residence,2. Chorro compartido (común),4 Moterized pumping,6 Closed well,covered spring,agua de lluvia (en depósito o cisterna),2. De pozo,Bunar ili vrelo,8 Tanker/ truck / person who bring water,agua de botellones (procesada),"4. De río, riachuelo, lago o laguna",9 Other,Don t know,Agua de paja dentro vivienda,Aqueduct and tankers,,"Source,cours d eau"
..piped into yard/plot,3. Chorro público,artesian well,8. Pozo privado,developed spring,agua lluvia,5 Open well,Ghanat or spring,autotanque,agua de funditas plasticas,"6. Río, lago o manantial",another,don't know,agua del vecino o de un familiar,Backstop,,"source,cours d eau"
1 Piped water within the house,agua de la llave publica,artesian/tube well or borehole,"Borehold/well, protected",filtered spring water,Agua lluvia,5. Pozo público,Manantial (puquio),Autre vendeur,agua embotellada,7 Canal / River/ stream/pond,Another,Don't know,agua filtrada,de la pluma,,
1. Chorro particular,agua de llave publica,barehole,closed well,Filtered spring water,Agua Lluvia,agua de pozo,manantial no protegido,bought,Agua Embotellada,acude,Another way,Don't know/no response,Agua purificada,dugout,,
1. De tuberia (dentro o fuera de la vivienda),agua entubada de llave pública,Bore hold or hand pump,Closed well,improved spring,aljibe,AGUA DE POZO,manantial/noria,Bought water,agua engarrafada,Acude,autre,inconnu,Alternative housing,fonte ou po‡o nao protegido,,
2 Piped water outside the house,Agua por tuberia de pila o grifo publico,Bore hole,covered pool,manantial protegido,ALJIBE,agua de pozo dentro del terreno,nascente não protegido,"bought water (in tank, bottle)",botted water,agua de superficie,Autre,Manquant,arranged source,FUERA 100+ MTS.,,
4. Chorro del vecino,agua por tuberia de pila o grifo publico,bore hole,covered public well,nascente protegido,Aljibe,agua embasada,natural spring,Bouser/tanker,Botteled water,"agua de un pozo, río, lago, arroyo",autre ( a preciser),manquant,balli,FUERA < 100 MTS.,,
7. De pipa,Battery or Jet Public,"Bore hole, tube or mechanical well",covered well,protected dug well or protected spring,Catchment,common well,non protected spring,bouser/tanker,Bottled,"agua por acarreo (arroyo, jaguey, rio, etc.)",autre (preciser),Missing,Boiled,gathered,,
acqueducto veredal,borne fontaine,Bore hole/hand pump,Covered Well,Protected dug well or protected spring,Catchment,communal water well,ojo de agua o manantial,brought in water (truck),bottled,"agua por acarreo (pozo, arroyo, jaguey)",autre … pr‚ciser,missing,Chlorinated,local watersupply,,
acueducta veredal,Borne fontaine,bore-hole,Covered well,protected dug well/spring,catchment tank,Communal wellundeveloped,open spring,brought-in water (truck),bottled (distilled)water,agua recogida directamente de una charca o arroyo,autres,n d,dans la concession/parcelle,Matfiacollective,,
