pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
pipeline that will give a gully or crack,6. Letrina con pozo séptico,Flush conn. to pit,closed latrine,VIP,5 Dry pit latrine,bucket/tin/other container,unsealed tank or pit,Hanging toilet/hanging latrine,There is no toilet,7 Other,BO,BANO MODERNO,PLACEHOLDER,Pit latrine (traditional),PLACEHOLDER
public network,Septic tank,flush conn. to pit,Long drop latrine inside house,Ventilated Improved Pit latrine,6 Dry raised latrine,bacin,pit latrine without slab or open pit,latrine overhanging field or water,Sea shore,Other (Specify),disposicion de sanitario no especificado,borehole,,neighbour's/another household's pit latrine,
Flush conn. to public sewerage,7. Letrina con pozo negro,4 Flush connected to open drain,....pit latrine - with slab,Ventilated pit latrine,Dry pit latrine,balde,....pit latrine - without slab,latrine overhanging water (for hh living on boat),No facility /bush/field,Other type,dk,chemical toilet,,No toilet in the household,
flush conn. to public sewerage,Septic tank,flush connected to pit,close pit,VIDP latrine outsids house,dry pit latrine,balde o bacinilla,cement open pit,"a quebrada, rio, lago",8. Letrina abonera,Other used facility,don't know,drenaje,,no toilet in the household,
flush connected to public sewerage,pour flush (or flush) to septic tank or pit,communal/shared flush toilet,closed pit,Ventilated improved pit latrine,Dry raised latrine,"balde, cubeta",cement openpit,beach/sea,No dispone,Other without septic tank,inconnu,latrine with siphon,,Shared toilet,
Flushed to piped sewer system,capped septic tank/western toilet, 5. Letrina con cierre hidráulico,closed pit latrine,(vip) latrine/blair toilet,dry raised latrine,bowl/bucket,dump,closet over sea or water,"None,open fields",8. Otro,lavaka voavoatra,loo,,own pit latrine,
Independent flush toilet inside house,Pozo ciego,Shared flush toilet outsids house,covered latrine,....pit latrine - ventilated improved,3. Letrina abonera,Bucket,earth open pit,"connected to river, creek",don't use a toilet,Autre,manquant,modern,,has no drainage,
Alcantarillado,Camara Séptica,pour flush (or flush) connected to sewerage,covered pit latrine,aqua-privy,composting toilet,bucket,earth openpit,Descargan en el rio o quebrada,No toilet / bush,autre,Manquant,Ordinary Vault Latrine,,1 No toilet in the house,
Connected  to sewerage,Camara septica,own flush toilet inside the house,Covered pit latrine,Blair,composting toilet/arbo loo,bucket latrine,fossa rudimentar,descargan en el rio o quebrada,Open land,autre ( a preciser),manquant ou nsp,percolation pit latrine,,Uso común,
Connected to sewerage,Camara séptica,own flush toilet outside the house,covered pit latrine no slab,blair toilet,covered dry latrine,Bucket latrine (where fresh excreta are manually removed),hole,directo ao rio mar ou lago,No toilet facility,autre (preciser),Missing,pvt. no septic tank,,no flush,
