hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
piped water to bring another home,piped water in public key (or hydrant),surging well (drilled and cased),Covered Well,springs protected,Rain catchment,Private well (un-protected),spring unprotected,carro repartidor,6. Compran agua purificada,river/lake/pond,7. Otro,BO,..well in residence,Traditional way for collecting water,Fuera viv. Dent.edi,Source
Piped water outside housing unit,Comunal tap,Tube well,6 Closed well,Spring (covered),Rain catchment tank,Private well (unprotected),Spring (not covered),"Tanker truck, vendor or otherwise bought",Botteled water,Stream/Spring water,9 Other,Manquant,Agua purificada,Mufuku,Fuera viv.y edif.,"Source,cours d eau"
Private piped (tap) water outside housing unit,public stand-pipe,Well with pump,Private well (protected),Spring protected,private catchment not piped,Uncovered Well,Spring un protec,"Tanker truck, vendor",branded bottled water,"water from a well, river, lake, stream, or other",Orther,Missing,Boiled,SE LA REGALAN,Fuera de vivienda,nascente
Piped bourne water untreated,....piped - public,Tubed/piped well or borehole,Public well (protected),Spring (protected),private catchments,Pub well un prot,Spring (unprotected),"tanker truck, vendor or otherwise bought- hh member goes to collect",Bottled,Rio Lago Vertiente,Other (Specify),NO SABE,Chlorinated,Se la regalan,Pozo o noria,"source,cours d eau"
water pipe,..public tap,tubed/piped well or borehole,Pub. well protec,....spring water protected,Catchment,Unprotected dug well,....spring water unprotected,vendor/truck,..bottled water,7 Canal / River/ stream/pond,88. Otro,NS,"De otra vivienda, vecino/empresa",Source non protegee,Pozo colectivo,
Piped Water,2. Chorro compartido (común),Bore hold or hand pump,Protected public well,Filtered spring water,Catchment,Public well (un-protected),Unprotected Spring,"tanker truck, vendor, or otherwise bought",Agua Embotellada,Pond/Lake/Dam,Autre,NZ,FUENTE PROTEGIDA,along the road,Priv. in house,
Piped to yard/plot,3. Chorro público,Bore hole/hand pump,Protected well /Borehole in yard/plot,Protected Spring,Private Catchment,Public well (unprotected),Unprotected dug well or spring,"tanker truck, vendor or otherwise bought- vendor brings to hh",Água engarrafada/mineral,"River, dam, lake, etc.","Non-network source, unspecified",No Response / Blank,Fuente de agua protegida,dugout,unprotected well/rain water,
tap water meter,Agua por tuberia de pila o grifo publico,Hand pump,well protected,Protected dug well or protected spring,Private Catchment Not Piped,unprotected wells,Unprotected spring,8 Tanker/ truck / person who bring water,Bottled Water,"River,dam lake",Other non-network source ,Not Stated,Internal channel,fonte ou po‡o nao protegido,Priv. outside,
Piped water outside house,Borne fontaine,Hand Pump,Covered well,Protected spring,Private catchment,Open well,Uprotected Spring,tap retail,Bottled water,"River, Dam, Lake, and so on",OTRO,Not stated,"Network, type not specified",ource non protegee,Well without pump,
Piped in dwelling,CANILLA PUBLICA,3 Hand pump,Closed well,Well or Spring- Protected,Private catchment not piped,Open well in yard/plot,Well or Spring- Unprotected,Truck,Eau en bouteille,River /Stream,Ostalo,Notappl,Public system ,souce non amenagee,In community,
Piped in dwelling or,CHORRO COMPARTIDO,Motr. Pumping/Tube well,closed well,arroyo protegido,Public catchment,5 Open well,manantial no protegido,Water vendor (person selling water),agua de botellones (procesada),Coverd pond,Other,Sem info,pil¢n,souce not protected,cistern/tank,
piped in dwelling or on premises,CHORRO PUBLICO,motr. pumping/tube well,Protected dug well,covered spring,"Private catchment, not piped",Priv well un pro,nascente não protegido,Camión aguatero,agua de funditas plasticas,"Pond, river or stream",Other,Unknown,Pil¢n,source non amenagee,Backstop,
2 Piped water outside the house,Canilla pública,4 Moterized pumping,Priv well protec,developed spring,"priv. catchment, not piped",....dug - well unprotected,non protected spring,Camión repartidor,agua embotellada,"3. De manantial, ojo de agua",Other (specify),dk,Public System,source non aménagée,Dentro la viv.,
piped water at neighbour's,Chorro publico,motorized pumping/tube well,....dug well - protected,filtered spring water,Precipitation,Open well elsewhere,open spring,Carro Repartidor,agua engarrafada,Open pond,Other Types,don't know,Source protected or covered,source non protegee,Dentro de la vivienda,
1. De tuberia (dentro o fuera de la vivienda),Communal Stand Pipe,drill wells / pumps,"Borehold/well, protected",improved spring,Agua Lluvia,Open well in residencey/ yard/ plot,other spring,"5. De carro cisterna, pick up con barriles",botted water,"pond, river, or stream",Other(in hh),inconnu,Source protegee,source non proteg‚e,Fuera viv. y edif.,
1 Piped water within the house,Communal tap,....tube well or borehole,Covered well elsewhere,manantial protegido,Agua de lluvia,Poço não protegido,poço ou fonte não protegido,..buy water from a car,bottled water,"4. De río, riachuelo, lago o laguna",Other(outside hh),manquant,Water supply at home,source non prot‚g‚e,Dentro la vivienda,
Piped water on community supply,Fontaine publique,Bore hole,Covered well in residence/ yard/ plot,nascente protegido,Citerne eau pluie,POZO ABIERTO,spring - unprotected,Autre vendeur,bottled water /demi john,Canal/River/Stream,Others,missing,Wells(in hh),source non protégée,Fuera viv.Dent.edi,
general network,Fontaines publiques,Borehole,Pozo sanitario,protected dug well or protected spring,Eau de pluie,Pozo brocal no protegido,"spring, not improved",Bought water,bottled water/refilling station,canal/river/stream,Otra,n d,arranged source,stationary tank /pool,2. De pozo,
Piped water within house,Fountain,Forages,Protected Well,protected dug well/spring,LLUVIA/TANQUE,Puits non protege,uncovered spring,CAMION TANQUERO,bottled/sachet water,stream/river,Otra fuente,na,balli,without drinking water,Neighbour,
piped water inside the house,Have access to public piped water,Hand pump in residence/ yard/ plot,Protected well,protected public well/spring,Lluvia,Unprotected Well,undeveloped spring,CARRO REPARTIDOR (TANQUERO),bottler water,Spring/river/pond,Otro,nao sabe,de otra vivienda/vecino/empresa,Unsafe drinking water,Pozos o noria,
piped water in residence ,Javna cesma,Hand pump/borehole/protected well,Protected well within premises,protected spring,"Lluvia, tanque...",Unprotected well,unprotect spring,COMPRAN,bottlet water,"Rio,lago vertiente","Otro, cual",ne sait pas,destilada,,Fuera de la vivienda,
Pipe borne water treated,Pila publica,POZO C/BOMBA DE MANO,Puits busés fermés,protected spring/karez,Pluie,"Water from hand-dug, non-reinforced and uncovered wells",unprotected dug well or spring,Camio o tanque aguatero,buy mineral water,..nile/canals,Outro,no answer or dk,filtrada,,Fuera viv.y edificio,
Piped water on neighbour's housing unit,Pilon for public use,POZO C/BOMBA ELECTRICA,Puits busés simples,protected springs,Rain,Well without pump uncovered,unprotected dug well or unprotected spring,Camion citerne,de botella,"6. Río, lago o manantial",autre,no especificado,gfs,,Water refill,
Red privada,Public Stand Pipe,POZO CON BOMBA,Puits protege,protected well or spring,Rain water,"Well, unprotected",unprotected dug well/spring,"Camion, citerne",eau en bouiteille,"Água do rio, lagoa",autre ( a preciser),no responde,gravity flow scheme,,..public well,
"piped water outside the house, but within the field",Public Tap,POZO S/BOMBA DE MANO,"Water from hand-dug, non-reinforced and covered wells",protected well/spring,Rainwater,dug unprotected well,unprotected dug well/unprotected spring,Cami¢n tanque,eau en boutaille,"Barrage,rivieres, Cours d'eau,",autre (preciser),no sabe,gravity flow water,,..well in yard/plot,
Piped water on housing unit,Public jet/stream,Pozo Mecanico,Well without Pump Covered,protected well/spring in yard/plot,Rainwater (into tank or cistern),dug well - unprotected,unprotected public well/spring,cami¢n tanque agua.,eau en bouteille,Dam,autre … pr‚ciser,not known,in building,,5. Pozo público,
Pipe borne water untreated,Public outdoor tap or borehole,Pozo con bomba (electrica o manual),covered pool,"protected, dug well or spring",Rainwater collection,neighbor's open well,unprotected spring,Cami¢n tanque agua.,eau en bouteille/minerale,Dam/pool,autres,not reported,in residence,,8. Pozo privado,
Private piped (tap) water in housing unit,Public standpipe,Pozo con bomba electrica,covered public well,spring - protected,"Tank, cistern (rainwater?)",neighbour's open well,unprotected well or spring,"Camión, tanque, otro vendedor",eau minerale,Dugout/pond/dam,no pipe from another source,not specified,inside dwelling,,AGUA DE POZO,
Pipe bourne water treated,Public standpipe or handpump,Protected tube well or bore hole,covered well,Spring covered,agua de lluvia,non proteceted well,unprotected well/spring,Cart with small tank/ drum,eau minerale (bouteille/sachet),Eau de surface,no tiene,not stated,inside neighbor's house,,ALJIBE,
Red pública,Public tap,Proveniente de poço ou furo protegido com bomba manual,covered well - into dwelling,village hydraulics / other protected well,agua de lluvia (en depósito o cisterna),non protected well,unprotected well/spring in yard/plot,La compran/carro cisterna,eau minerale/eau de table,External channel,other,ns/nr,inside the house,,Agua de paja (patio),
....piped into dwelling,Public tap water,Public Hand-pump,covered well - into yard/plot,,agua lluvia,open dug well,Spring uncovered,Mobile Tanker,sachet water,FUENTE NATURAL,other                                     {from 96},nsp,otra vivienda,,Agua de paja dentro vivienda,
....piped into yard/plot,Public tap/basin/tank,Puits a pompe/forage,covered well - public,,citern.e.plui p/pr.,open public well,,Public Tank,sachet/bottled water,"Fuente natural: rio, quebrada, naciente, vertiente, lago",other (in concession,não resposta,pretected source,,Aljibe,
..piped into residence,Public tap/standpipe,"Puits, forage",covered well in compound/plot,,colección de aguas lluvia,open public well {cg},,Seller Water,satchel water,Lake ,other (specify),pas de reponse ou nsp,private,,Bunar ili vrelo,
..piped into yard/plot,Puesto publico,Pump,"covered well/borehole, public",,collected rainwater,open well,,Tank,bottled water/demijohn,Lake/Dam,other source,unknown,private aqueduct,,"Camion, carreta o pipa",
1. Chorro particular,Robinet public/borne fontaine,Tube-well/deep tube-well,"duct, protected well",,de lluvia,open well (< 5 meters),,Tank Driving,Bottled water from stores,"Lakes, creeks",other source for water,unspecified,private not piped,,Charrette avec petite citerne/tonneau,
4. Chorro del vecino,Stand pipe,Tubewell/Borehole,dug protected well,,eau de pluie,open well (<= 5 meters),,Tank truck,bottled,Levada *,other sources,not dejure resident,protected source,,Cistern,
7. De pipa,Stand pipe in house,Tubewell/borehole,dug well - protected,,eau de pluie (sans systeme de captage),open well - in dwelling,,Tanker,bottled/purified water,"Manantial, r¡o...",other(out of concess,not de-jure resident,"protected, pumped {cg}",,Cisterna,
Acueducto de la comunidad,Stand pipe outside,Water pumped from deep drill wells,fonte ou po‡o protegido,,eau de pluie / citerne,open well - in yard/plot,,Tanker Service,bought/bottled,Marigot,other(specify),not a dejure resident,puits ds logement,,Dentro da casa,
Acueducto particular,TUBERIA DE USO PUBLICO,Well with Pump,mod. public well,,eau de pluie collect‚e,open well - into dwelling,,"Tanker Truck, Vendor",mineral water,"Marigot,lac",other___________________,not de jure resident,pure drinking water,,DENTRO VIVIENDA,
Acueducto público,Tap Inside Compound- Public,Well with handpump,mod. well in resid.,,eau de puitollection,open well - into yard/plot,,Tanker service,bottled (distilled)water,Pond,others,not a de-jure resident,purified water,,Dans la cours/parcelle,
Agua de tubería en el patio o lote,Tap Outside Compound- Public Tap,Well/Handpump,pozo protegido,,ice/snow,open well - public,,"Tanker truck, other vendor",water sachets (pure water),Pond/ Lake,others (specify),not a dejure place of residence,residence/yard/plot,,Fora da casa/quintal,
Agua de tubería en la casa,Torneira pública/fontanário,artesian well,pozo protegido/cubierto,,lluvia,open well /hole/cesspool in residence,,Tanker-Truck,Bottled water-tellada,Pond/Dighi,otra,not in de jure sample,rural /priv. aqueduct,,FUERA 100+ MTS.,
Agua por tuberia de pila o grifo privado,agua de la llave publica,artesian/tube well or borehole,pozo sanitario,,lluvia/tanque,open well /hole/cesspool outside residence,,"Tanker-truck, vendor",,"RIO, LAGO O MAN.",otra fuente,not dejure member,"si, dentro de la viv",,FUERA < 100 MTS.,
Agua por tuberia dentro de la vivienda,agua de llave publica,barehole,pozo subterraneo protegido o fuente protegida,,lluvia/tanque/aljibe,open well at neighbour,,Tanker/ Truck,,"RIO, LAGO, ACEQUIA",otras (especifique),Don t know,source amenagee,,FUERA/DENTRO PROP.,
"Agua por tuberia fuera de la vivienda, dentro del terreno",agua entubada de llave pública,bore-hole,pozo subterráneo protegido o fuente protegida,,other rain water,open well in compound/plot,,Tanquero,,"RIO,LAGO, MANANTIAL",otro,Don't know,source aménagée,,Ghanat or spring,
CHORRO DE VECINO,agua por tuberia de pila o grifo publico,borehole,poço ou fonte de água protegida,,other rainwater,open well in dwelling,,"Vendor, truck",,RIO/MANANTIAL,otro fuente,Don't know/no response,source protegee,,Ground-hole,
CHORRO EN CASA,borne fontaine,borehole /pump,poço protegido,,private catchments/rainwater,"open well in dwelling, yard/plot {cg}",,Water truck,,RIO/VERTIENTE,"otro, cual?",NR,source protegeee,,MANGUERA,
CHORRO EN PATIO,borne fontaine/kiosque,borehole ?,protect public well,,private- rain water,open well in dwelling/yard,,"Water truck, waterman",,"Rio, acequia, manantial, ojo de agua",outra,not applicable,source proteg‚e,,Manantial (puquio),
CHORRO PARTICULAR,borne fontaine/kiosque ... eau,borehole in yard/plot,protect. well /borehl,,protected rainwater collection,open well in residence,,Water truck/water seller,,"Rio, manantial o quebrada",outras,not stated/missing,source protegée/amenagee,,Manguera (fuente no especificada),
"Compra particular de puesto, pipo o vecino",borne fontaine/kiosque à eau,borehole or tubewell,protected dug well,,rain,open well in yard,,Water vendor,,"Rio, manantial, agua de superficie",outro,none,source protégé,,Na casa do vizinho,
DE PIPA,borne publique,borehole public,protected dug well in dwelling/yard/plot,,rain water,open well in yard /plot,,autotanque,,Rio/Acequia/Manantial,per carry other,NIU (not in universe),source protégée,,No piped water,
Eau courante,canilla pública,borehole with pump,protected public dug well,,rain water system,open well in yard/ plot,,"bought water (in tank, bottle)",,Rio/Vertiente/Acequia/Canal,Another,,stone tap (dhara),,Private system ,
Eau courante … dom.,canilla publica,borehole with pump in residence,protected public well,,rain water tank,open well in yard/compound,,brought in water (truck),,River,Another way,,stone tap/dhara,,POZO PRIVADO,
Eau de robinet dans le logement,caño vertical pública,borehole with pump outside residence,protected waterhole,,rain-water tank,open well in yard/plot,,brought-in water (truck),,River,Other source,,water factory,,POZO PUBLICO,
Eau de robinet dns le logement,caño vertical público,borehole/ tubewell,protected well,,rain/snow water collection,open well water,,buy from pric. indiv,,River/stream,other tank/pond,,water in house,,POZO SIN BOMBA,
Indoor Plumbing,chafariz,borehole/hand pump,protected well - in dwelling,,rainwater,open well with sump pump,,buy water from someone,,River or Lake,other/ not stated,,water plant,,Per carry private well,
Inside Tap,"chafariz, fontenário",borehole/well,protected well - in yard/plot,,rainwater (tank),open well without sump pump,,camiao-cisterna de destribui‡ao de agua,,River stream,another,,water purification station,,Pozo,
Jet/stream exclusive use,chorro publico,common pump,protected well - public,,rainwater - public or community tank,pozo brocal no protegido,,camio o tanque aguatero,,"River, Lake, Tidal",other sources of water,,water station,,Pozo malacate (sin bomba),
Llave dentro de la vivienda,common pipe,communal water pump,protected well / borehole in dwelling,,rainwater - tank in compound,pozo no protegido/descubierto,,camion,,"River, Spring, Lake & Other",,,well (in concession),,Pozo privado,
Llave fuera de la propiedad a 100 M o mas,communal tap,covered public well/ borehole,protected well in dwelling,,rainwater /tank/ciste,pozo sin proteger,,camion citerne,,"River, lake, pond",,,well /spring inside,,Pozo publico,
Llave fuera de la propiedad a menos de 100 M,community stand pipe,covered well/ brohole in yard/ plot,protected well in dwelling or yard/plot {cg},,rainwater cistern,pozo subterraneo sin protección o fuentes sin protección,,camion citerne vendeur d'eau,,"River, lake, pond or similar",,,well in compound,,Pozo publico o privado,
Llave fuera de la vivienda pero dentro de la propiedad,de una llave pública (o hidratante),covered well/borehole in the yard,protected well in dwelling/yard/plot,,rainwater collected in tank,pozo subterráneo sin protección o fuente sin protección,,"camion citerne, vendeur d'eau",,"River, spring, surface water",,,well in dwelling,,Pozo sin bomba,
Pipe,"del acueducto,  llave publica",deep tubewell,protected well in someone else's yard/plot,,rainwater collection,poço não protegido,,"camion citerne, vendeur eau",,"River, stream",,,well in residence /garden,,Private vat / drum / well not piped,
Pipe Inside the house,"del acueducto,  llave pública",deep well/pump,protected well in yard/ compound,,rainwater in a cistern,public open well,,"camion citerne,vendeur d'eau",,"River, stream, or well",,,well in residence/yard/plot,,Public Well,
Pipe Private well,"del acueducto, llave publica",deet tubewell,protected well in yard/plot,,rainwater in patio,public traditional well,,camion citerne/vendeur d'eau,,"River,Lake,Unp Sprng",,,well inside dwelling,,Public service: inside dwelling,
Pipe outside the home but inside the building,fontaine,drilling equipped with pump,protected well outside premises,,rainwater in tank/barrel,"public well, cement, not covered",,camion sisterna,,River/ Stream,,,ÿwell in residence/yard/plot,,"Public service: outside dwelling, inside building",
